Designator,Mid X,Mid Y,Rotation,Layer
_4,175.941322,-73.48787,0.0,top
_3,179.34,-38.405,0.0,top
_2,179.34,-151.405,0.0,top
,89.34,-151.405,0.0,top
C1_2,108.345,-86.6325,270.0,top
C1,108.325,-137.5125,270.0,top
C11_2,132.0575,-73.47,0.0,top
C11,132.0375,-124.35,0.0,top
C13_2,121.195,-92.3075,270.0,top
C13,121.175,-143.1875,270.0,top
C15_2,128.47,-92.4075,270.0,top
C15,128.45,-143.2875,270.0,top
C17_2,127.22,-74.4575,90.0,top
C17,127.2,-125.3375,90.0,top
C18_2,110.125,-129.6125,90.0,top
C18,110.145,-78.7325,90.0,top
C2_2,106.8625,-142.05,180.0,top
C2,106.8825,-91.17,180.0,top
C21_2,142.12,-74.7325,270.0,top
C21,142.1,-125.6125,270.0,top
C22_2,159.47,-78.6075,270.0,top
C22,159.45,-129.4875,270.0,top
C25_2,144.025,-88.715,180.0,top
C25,144.005,-139.595,180.0,top
C27_2,147.1425,-87.6875,270.0,top
C27,147.1225,-138.5675,270.0,top
C29_2,137.4325,-73.47,180.0,top
C29,137.4125,-124.35,180.0,top
C31_2,151.7575,-88.77,0.0,top
C31,151.7375,-139.65,0.0,top
C33_2,121.245,-75.2825,90.0,top
C33,121.225,-126.1625,90.0,top
C34_2,137.77,-88.3825,270.0,top
C34,137.75,-139.2625,270.0,top
C37_2,147.975,-125.9575,270.0,top
C37,147.995,-75.0775,270.0,top
C39_2,151.84,-125.8875,270.0,top
C39,151.86,-75.0075,270.0,top
C45_2,97.4375,-100.85,0.0,top
C45,97.4575,-49.97,0.0,top
C46_2,171.6325,-49.22,0.0,top
C46,171.6125,-100.1,0.0,top
C49_2,107.625,-97.8125,270.0,top
C49,107.645,-46.9325,270.0,top
C5_2,104.895,-86.6575,270.0,top
C5,104.875,-137.5375,270.0,top
C50_2,158.295,-47.2325,90.0,top
C50,158.275,-98.1125,90.0,top
C7_2,117.45,-126.1625,90.0,top
C7,117.47,-75.2825,90.0,top
C9_2,101.235,-137.4625,270.0,top
C9,101.255,-86.5825,270.0,top
D1_2,115.375,-137.275,180.0,top
D1,115.395,-86.395,180.0,top
D2_2,175.941322,-74.74787,90.0,top
D2,175.94,-125.765,90.0,top
IN_CURRENT_2,112.975,-98.835,180.0,top
IN_CURRENT,112.995,-47.955,180.0,top
J6_2,138.29,-143.22,90.0,top
J6,138.31,-92.34,90.0,top
J8_4,91.67,-89.055,270.0,top
J8_3,176.195,-88.985,270.0,top
J8_2,176.175,-139.865,270.0,top
J8,91.65,-139.935,270.0,top
L1_2,126.98,-114.375,270.0,top
L1,127.0,-63.495,270.0,top
L2_2,111.73,-114.4,270.0,top
L2,111.75,-63.52,270.0,top
L5_2,142.405,-114.325,270.0,top
L5,142.425,-63.445,270.0,top
L6_2,157.87,-63.47,270.0,top
L6,157.895,-114.295,270.0,top
OUT_CURRENT_2,151.27,-48.92,0.0,top
OUT_CURRENT,151.25,-99.8,0.0,top
R1_2,171.6943,-116.675,180.0,top
R1,171.7143,-65.795,180.0,top
R10_2,128.495,-88.4075,90.0,top
R10,128.475,-139.2875,90.0,top
R12_2,144.05,-86.315,0.0,top
R12,144.03,-137.195,0.0,top
R14_2,157.57,-84.895,0.0,top
R14,157.55,-135.775,0.0,top
R15_2,153.85,-135.75,180.0,top
R15,153.87,-84.87,180.0,top
R16_2,150.81,-85.6925,270.0,top
R16,150.79,-136.5725,270.0,top
R20_2,135.195,-139.0775,90.0,top
R20,135.215,-88.1975,90.0,top
R30_2,92.8858,-53.42,270.0,top
R30,92.8658,-104.3,270.0,top
R31_2,100.92,-53.22,270.0,top
R31,100.9,-104.1,270.0,top
R33_2,166.575,-103.8,270.0,top
R33,166.595,-52.92,270.0,top
R34_2,175.675,-103.8,270.0,top
R34,175.695,-52.92,270.0,top
R5_2,122.1875,-135.8,180.0,top
R5,122.2075,-84.92,180.0,top
R52_2,96.9393,-77.17,180.0,top
R52,96.9193,-128.05,180.0,top
R6_2,126.2575,-84.92,180.0,top
R6,126.2375,-135.8,180.0,top
R7_2,125.395,-92.4075,90.0,top
R7,125.375,-143.2875,90.0,top
U1_2,134.469,-80.619999,180.0,top
U1,134.449,-131.499999,180.0,top
U10_2,162.7421,-46.694999,0.0,top
U10,162.7221,-97.574999,0.0,top
U9_2,101.8779,-98.200001,180.0,top
U9,101.8979,-47.320001,180.0,top
