"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"L2,L1,L6,L5";"L_Wuerth_HCI-1365";4;"47uH";;;
2;"R5";"R_0805_2012Metric";1;"3.3MΩ";;;
3;"C18,C21,C22,C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
4;"R24,R24";"D2PAK_STM-L";2;"RBR15BM60AFHTL";;;
5;"D1";"D_SMB_Handsoldering";1;"D";;;
6;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"4.7uf";;;
7;"C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"TYOSEI";;;
8;"R20";"R_0805_2012Metric";1;"0Ω Only 1OOkHz  HUYOU";;;
9;"C37,C33,C39,C5,C11,C29";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";6;"4.7uF";;;
10;"C27,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220pF";;;
11;"U1";"PowerSSO-36_STM";1;"SPV1020";;;
12;"J6";"PinSocket_1x06_P2.54mm_Vertical";1;"MPPT_OUT SPI_A";;;
13;"R14";"R_0805_2012Metric";1;"1.3MΩ";;;
14;"C34";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470nF";;;
15;"C25";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22nF";;;
16;"R16";"POT_3362P";1;"100kΩ";;;
17;"R12";"R_0805_2012Metric";1;"1kΩ";;;
18;"R7";"POT_3362P";1;"110kΩ";;;
